Reaction ID,EC#,Uncertainty,dG0,Reagents,Products
R10395,4.2.1.114,1.9,0.4,['C16598 '],"[' C20582 ', ' C00001']"
R10393,4.2.1.114,1.9,3.7,"['C20581 ', ' C00001 ']",[' C16597']
R10396,4.2.1.114,1.9,3.7,"['C20582 ', ' C00001 ']",[' C16600']
R10397,-,,,['C16590 '],[' C16593']
R04148,2.4.2.21,4.0,-21.0,"['C01185 ', ' C03114 ']","[' C00253 ', ' C04778 ', ' C00080']"
R04594,3.1.3.73,1.2,-32.8,"['C04778 ', ' C00001 ']","[' C05775 ', ' C00009']"
R05705,"1.5.1.36,1.5.1.39,1.5.1.41,1.5.1.42",3.0,-25.3,"['C00061 ', ' C00004 ', ' C00080 ']","[' C01847 ', ' C00003']"
R05706,"1.5.1.38,1.5.1.39,1.5.1.-",3.0,-25.2,"['C00061 ', ' C00005 ', ' C00080 ']","[' C01847 ', ' C00006']"
R05807,4.99.1.3,,,"['C05778 ', ' C00175 ']","[' C11538 ', ' 2 C00080']"
R11580,2.1.1.272,,,"['C00019 ', ' C17401 ', ' C00030 ']","[' C00021 ', ' C11540 ', ' C00028']"
R08716,-,,,['C17401 '],[' C11539']
R05218,1.16.8.1,,,"['2 C06504 ', ' C01847 ']","[' 2 C06505 ', ' C00061 ', ' 2 C00080']"
R05220,2.5.1.17,,,"['C06505 ', ' C00002 ']","[' C06506 ', ' C00536']"
R05808,2.1.1.151,100000.0,0.0,"['C11538 ', ' C00019 ']","[' C17401 ', ' C00021']"
R05809,2.1.1.131,100000.0,0.0,"['C11539 ', ' C00019 ']","[' C11540 ', ' C00021']"
R05810,2.1.1.271,100000.0,0.0,"['C11540 ', ' C00019 ']","[' C16242 ', ' C00021']"
R07772,3.7.1.12,100000.0,0.0,"['C16242 ', ' C00001 ']","[' C16243 ', ' C00084']"
R07773,2.1.1.195,100000.0,0.0,"['C16243 ', ' C00019 ']","[' C11542 ', ' C00021']"
R05812,1.3.1.106,100000.0,0.0,"['C11542 ', ' C00004 ', ' C00080 ']","[' C11543 ', ' C00003']"
R07774,2.1.1.196,100000.0,0.0,"['C11543 ', ' C00019 ']","[' C16244 ', ' C00021 ', ' C00011']"
R07775,2.1.1.289,100000.0,0.0,"['C16244 ', ' C00019 ']","[' C11545 ', ' C00021']"
R05814,5.4.99.60,100000.0,0.0,['C11545 '],[' C05773']
R05815,6.3.5.11,100000.0,0.0,"['C05773 ', ' 2 C00064 ', ' 2 C00002 ', ' 2 C00001 ']","[' C06504 ', ' 2 C00025 ', ' 2 C00008 ', ' 2 C00009']"
R05225,6.3.5.10,100000.0,0.0,"['C06506 ', ' 4 C00064 ', ' 4 C00002 ', ' 4 C00001 ']","[' C06507 ', ' 4 C00025 ', ' 4 C00009 ', ' 4 C00008']"
R07302,6.3.1.10,100000.0,0.0,"['C00002 ', ' C06507 ', ' C03194 ']","[' C00008 ', ' C00009 ', ' C06508']"
R06558,2.7.1.156,100000.0,0.0,"['C06508 ', ' C00044 ']","[' C06509 ', ' C00035']"
R05221,2.7.1.156,100000.0,0.0,"['C06508 ', ' C00002 ']","[' C06509 ', ' C00008']"
R05222,2.7.7.62,100000.0,0.0,"['C06509 ', ' C00044 ']","[' C06510 ', ' C00013']"
R05223,2.7.8.26,100000.0,0.0,"['C06510 ', ' C05775 ']","[' C00194 ', ' C00144']"
R05789,3.1.3.71,1.3,-32.8,"['C11536 ', ' C00001 ']","[' C11537 ', ' C00009']"
R07136,"1.1.1.37,1.1.1.337",1.0,17.9,"['C11537 ', ' C00003 ']","[' C05528 ', ' C00004 ', ' C00080']"
R05774,4.1.1.79,3.1,-26.0,['C05528 '],"[' C00593 ', ' C00011']"
R09153,-,,,['C00593 '],[' C03576']
R07476,4.4.1.19,70000.0,0.0,"['C00094 ', ' C00074 ']",[' C11536']
R00573,6.3.4.2,2.6,-36.3,"['C00002 ', ' C00075 ', ' C00064 ', ' C00001 ']","[' C00008 ', ' C00009 ', ' C00063 ', ' C00025']"
R00571,6.3.4.2,2.5,-4.6,"['C00002 ', ' C00075 ', ' C00014 ']","[' C00008 ', ' C00009 ', ' C00063']"
R10305,2.5.1.134,4.0,-57.0,"['C00979 ', ' C00155 ']","[' C02291 ', ' C00033']"
R00897,"2.5.1.47,2.5.1.65",5.0,-51.0,"['C00979 ', ' C00283 ']","[' C00097 ', ' C00033']"
R00194,3.2.2.9,2.8,-33.8,"['C00021 ', ' C00001 ']","[' C03539 ', ' C00147']"
R01001,4.4.1.1,6.0,-32.0,"['C02291 ', ' C00001 ']","[' C00097 ', ' C00014 ', ' C00109']"
