ID	Info	Cofactors	Codes	
R_R10092	[('dG0', '-5.9'), ('dG0_uncertainty', '3.1'), ('ec-code', '4.2.1.1'), ('kegg-reaction', 'R10092')]	Zn2+	C00038	
R_R00036	[('dG0', '-85.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '4.2.1.24'), ('kegg-reaction', 'R00036')]	Zn2+	C00038	
R_R01070	[('dG0', '-4.7'), ('dG0_uncertainty', '2.3'), ('ec-code', '4.1.2.13'), ('kegg-reaction', 'R01070')]	Zn2+	C00038	
R_R04620	[('dG0', '-130.0'), ('dG0_uncertainty', '7.0'), ('ec-code', '3.1.3.1'), ('kegg-reaction', 'R04620')]	Zn2+	C00038	
R_R07459	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '2.7.7.73,2.7.7.80'), ('kegg-reaction', 'R07459')]	Zn2+	C00038	
R_RMAN12	[('ec-code', '1.1.1.261'), ('dG0', '-25.7'), ('dG0_uncertainty', '1.4'), ('kegg-reaction', 'R05679')]	Zn2+	C00038	
R_R00946	[('dG0', '-3.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '2.1.1.13'), ('kegg-reaction', 'R00946')]	Zn2+, Cobamide	C00038, C00194	
R_R10866	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '1.2.7.-'), ('kegg-reaction', 'R10866')]			
R_R01214_2	[('dG0', '1.8'), ('dG0_uncertainty', '3.5'), ('ec-code', '-'), ('kegg-reaction', 'R01214_2')]			
R_R08331	[('dG0', '-31.7'), ('dG0_uncertainty', '2.0'), ('ec-code', '2.3.3.-'), ('kegg-reaction', 'R08331')]			
R_R08332	[('dG0', '-26.1'), ('dG0_uncertainty', '1.3'), ('ec-code', '2.3.3.-'), ('kegg-reaction', 'R08332')]			
R_R08217	[('dG0', '-9.3'), ('dG0_uncertainty', '1.3'), ('ec-code', '2.7.1.-'), ('kegg-reaction', 'R08217')]			
R_R08323	[('dG0', '-21.3'), ('dG0_uncertainty', '3.0'), ('ec-code', '-'), ('kegg-reaction', 'R08323')]			
R_R08214	[('dG0', '-15.2'), ('dG0_uncertainty', '3.1'), ('ec-code', '1.1.1.-'), ('kegg-reaction', 'R08214')]			
R_R08215	[('dG0', '-15.2'), ('dG0_uncertainty', '3.1'), ('ec-code', '1.1.1.-'), ('kegg-reaction', 'R08215')]			
R_R08328	[('dG0', '-26.0'), ('dG0_uncertainty', '3.1'), ('ec-code', '-'), ('kegg-reaction', 'R08328')]			
R_R10397	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '-'), ('kegg-reaction', 'R10397')]			
R_R08716	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '-'), ('kegg-reaction', 'R08716')]			
R_R09153	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '-'), ('kegg-reaction', 'R09153')]			
R_R04336	[('dG0', '53.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '-'), ('kegg-reaction', 'R04336')]			
R_R09776	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '2.7.2.-'), ('kegg-reaction', 'R09776')]			
